time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780321500,4466.84,4469.64,4448.2,4449.69,4577.019999999999,4488.170000000001,4504.694471709629,,
1780322400,4449.69,4462.02,4447.65,4461.15,4577.019999999999,4488.170000000001,4502.386388482974,,
1780323300,4461.15,4464.81,4449.67,4456.08,4577.019999999999,4488.170000000001,4500.7132553196525,,
1780324200,4456.08,4461.57,4453.58,4459.92,4577.019999999999,4488.170000000001,4499.597068105565,,
1780325100,4459.92,4461.22,4452.22,4458.7,4577.019999999999,4488.170000000001,4498.536395833371,,
1780326000,4458.7,4465.33,4455.09,4464.32,4577.019999999999,4488.170000000001,4497.678405024791,,
1780326900,4464.32,4470.24,4463.1,4468.2,4577.019999999999,4488.170000000001,4497.1541635053945,,
1780327800,4468.2,4479.71,4467.96,4472.23,4577.019999999999,4488.170000000001,4496.3998971738065,,
1780328700,4472.23,4475.41,4468.51,4473.93,4577.019999999999,4488.170000000001,4496.063988538839,,
1780329600,4473.93,4478.38,4465.05,4467.05,4577.019999999999,4488.170000000001,4495.686463659223,,
1780330500,4467.05,4469.53,4462.81,4467.86,4577.019999999999,4488.170000000001,4495.316352787629,,
1780331400,4467.86,4472.55,4467.57,4468.08,4577.019999999999,4488.170000000001,4494.979912475003,,
1780332300,4468.08,4482.06,4467.24,4479.96,4577.019999999999,4488.170000000001,4494.649214872709,,
1780333200,4479.96,4480.94,4471.49,4475.04,4577.019999999999,4488.170000000001,4494.342815795655,,
